R device_connect OK
R device_subscribe gsr OK
E4_Bvp 1502566021.45271 6.285163
E4_Bvp 1502566021.46833 4.378079
E4_Bvp 1502566021.48396 0.5888281
E4_Bvp 1502566021.49959 -2.957739
E4_Bvp 1502566021.51521 -4.291491
E4_Bvp 1502566021.53084 -2.612339
E4_Bvp 1502566021.54646 1.177823
E4_Bvp 1502566021.56209 5.069683
E4_Bvp 1502566021.57771 7.018638
E4_Bvp 1502566021.59334 6.135721
E4_Bvp 1502566021.60897 3.141552
E4_Bvp 1502566021.62459 -0.05608511
E4_Bvp 1502566021.64022 -1.471463
E4_Bvp 1502566021.65584 -0.1699107
E4_Bvp 1502566021.67147 3.133756
E4_Bvp 1502566021.68709 6.503472
E4_Bvp 1502566021.70272 7.889766
E4_Bvp 1502566021.71835 6.346841
E4_Bvp 1502566021.73397 2.602708
E4_Bvp 1502566021.7496 -1.346195
E4_Bvp 1502566021.76522 -3.371141
E4_Bvp 1502566021.78085 -2.438547
E4_Bvp 1502566021.79647 0.7556162
E4_Bvp 1502566021.8121 4.21659
E4_Bvp 1502566021.82773 5.796484
E4_Bvp 1502566021.84335 4.484774
E4_Bvp 1502566021.85898 1.031798
E4_Bvp 1502566021.8746 -2.51397
E4_Bvp 1502566021.89023 -3.98877
E4_Bvp 1502566021.90585 -2.421211
E4_Bvp 1502566021.92148 1.334853
E4_Bvp 1502566021.93711 5.09365
E4_Bvp 1502566021.95273 6.597583
E4_Bvp 1502566021.96836 4.85958
E4_Bvp 1502566021.98398 0.75437
E4_Bvp 1502566021.99961 -3.43957
E4_Bvp 1502566022.01523 -5.363362
E4_Bvp 1502566022.03086 -3.910588
E4_Bvp 1502566022.04649 0.0833942
E4_Bvp 1502566022.06211 4.353569
E4_Bvp 1502566022.07774 6.501808
E4_Bvp 1502566022.09336 5.367733
E4_Bvp 1502566022.10899 1.638086
E4_Bvp 1502566022.12461 -2.527495
E4_Bvp 1502566022.14024 -4.776303
E4_Bvp 1502566022.15587 -3.894698
E4_Bvp 1502566022.17149 -0.4563493
E4_Bvp 1502566022.18712 3.492992
E4_Bvp 1502566022.20274 5.679529
E4_Bvp 1502566022.21837 4.904233
E4_Bvp 1502566022.23399 1.707712
E4_Bvp 1502566022.24962 -1.976333
E4_Bvp 1502566022.26525 -3.957145
E4_Bvp 1502566022.28087 -3.097084
E4_Bvp 1502566022.2965 0.04280126
E4_Bvp 1502566022.31212 3.502396
E4_Bvp 1502566022.32775 5.119437
E4_Bvp 1502566022.34337 3.793991
E4_Gsr 1502566179.416 0
E4_Gsr 1502566179.666 0
E4_Gsr 1502566179.916 0
E4_Gsr 1502566180.166 0
E4_Gsr 1502566180.416 0
E4_Gsr 1502566180.666 0
E4_Bvp 1502566022.359 0.1657174
E4_Bvp 1502566022.37463 -3.76862
E4_Bvp 1502566022.39025 -5.81124
E4_Bvp 1502566022.40588 -4.867252
E4_Bvp 1502566022.4215 -1.592086
E4_Bvp 1502566022.43713 1.944618
E4_Bvp 1502566022.45275 3.46925
E4_Bvp 1502566022.46838 1.847645
E4_Bvp 1502566022.48401 -2.264712
E4_Bvp 1502566022.49963 -6.688924
E4_Bvp 1502566022.51526 -9.039154
E4_Bvp 1502566022.53088 -8.038656
E4_Bvp 1502566022.54651 -4.317507
E4_Bvp 1502566022.56213 -0.06999588
E4_Bvp 1502566022.57776 2.169022
E4_Bvp 1502566022.59339 1.040235
E4_Bvp 1502566022.60901 -2.861551
E4_Bvp 1502566022.62464 -7.325965
E4_Bvp 1502566022.64026 -9.804617
E4_Bvp 1502566022.65589 -8.891174
E4_Bvp 1502566022.67151 -5.161124
E4_Bvp 1502566022.68714 -0.7992625
E4_Bvp 1502566022.70277 1.709829
E4_Bvp 1502566022.71839 1.049096
E4_Bvp 1502566022.73402 -2.129812
E4_Bvp 1502566022.74964 -5.671119
E4_Bvp 1502566022.76527 -7.180134
E4_Bvp 1502566022.78089 -5.48684
E4_Bvp 1502566022.79652 -1.363295
E4_Bvp 1502566022.81215 2.954805
E4_Bvp 1502566022.82777 5.081957
E4_Bvp 1502566022.8434 3.864116
E4_Bvp 1502566022.85902 0.01881981
E4_Bvp 1502566022.87465 -4.275252
E4_Bvp 1502566022.89028 -6.636971
